decl,ra,source_id,w1mpro,w2mpro,w3mpro,w4mpro
0.12141350,1.53359190,0015p000_ac51-031194,5.62900000,5.58100000,5.65600000,5.55100000
"-0.42071600",2.16339660,0015p000_ac51-023818,7.75600000,5.87700000,,-3.97600000
0.07189750,2.35224810,0030p000_ac51-034344,7.31300000,7.41600000,7.40900000,6.65400000
"-0.41217870",2.18873920,0015p000_ac51-023817,5.80200000,4.78300000,,-2.89700000
"-0.43236390",2.16877440,0015p000_ac51-023828,6.48000000,5.23700000,1.81400000,-2.09900000
0.17909520,1.91070150,0015p000_ac51-047081,6.90500000,7.02400000,6.93800000,6.92500000
"-0.35605580",1.84938880,0015p000_ac51-020755,7.27300000,7.48400000,7.37900000,5.45400000
"-0.40935330",2.18237800,0015p000_ac51-023824,7.86000000,7.15200000,,-4.42200000
0.33985080,1.78622340,0015p000_ac51-047080,6.70700000,6.80300000,6.75800000,6.71000000
0.12983800,1.95925870,0015p000_ac51-028994,7.85700000,7.90600000,7.90100000,7.71300000
